has_iep,enl_minutes_required,grade,enl_level,homeroom,last_name,student_id,iep_services,mtss_tier,first_name,testing_accommodations,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"false","0","5","none","Room 501A","Howell","PS101-5026","[]","tier_1","Arlo","[]","active","69fc978a098a9219c1d5a9e9","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","360","5","entering","Room 501B","Vargas","PS101-5027","[]","tier_1","Bram","[]","active","69fc978a098a9219c1d5a9ea","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501A","Buckley","PS101-5028","[]","tier_2","Cleo","[]","active","69fc978a098a9219c1d5a9eb","2026-05-07T13:45:46.906000","2026-06-01T17:42:39.903000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501B","Rocha","PS101-5029","[]","tier_1","Dex","[]","active","69fc978a098a9219c1d5a9ec","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"true","360","5","emerging","Room 501A","Patton","PS101-5030","[]","tier_1","Ember","[]","active","69fc978a098a9219c1d5a9ed","2026-05-07T13:45:46.906000","2026-05-28T14:41:07.979000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501B","Leon","PS101-5031","[]","tier_1","Fox","[]","active","69fc978a098a9219c1d5a9ee","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501A","Medina","PS101-5032","[]","tier_1","Gem","[]","active","69fc978a098a9219c1d5a9ef","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","360","5","entering","Room 501B","Thornton","PS101-5033","[]","tier_1","Haze","[]","active","69fc978a098a9219c1d5a9f0","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501A","Stanton","PS101-5034","[]","tier_1","Ione","[]","active","69fc978a098a9219c1d5a9f1","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
"false","0","5","none","Room 501B","Meza","PS101-5035","[]","tier_1","Jax","[]","active","69fc978a098a9219c1d5a9f2","2026-05-07T13:45:46.906000","2026-05-07T13:45:46.906000","69fa0215ff3c784069cea5aa","gauravmehra1984@gmail.com","false"
